Date,ret
2004-01-05,0.04729332476831338
2004-01-06,0.0018680484331845548
2004-01-07,-0.010917883953101892
2004-01-08,0.016880729100465786
2004-01-09,0.008397412573970087
2004-01-12,0.013290888008953061
2004-01-13,-0.012329691035853685
2004-01-14,-0.022857413722073616
2004-01-15,-0.018852610736132647
2004-01-16,0.008370064261095322
2004-01-19,0.009884051245133918
2004-01-20,0.012493788216524138
2004-01-21,-0.0160493855966255
2004-01-22,-0.014393713090131044
2004-01-23,0.021620135831787124
2004-01-26,0.036766232989194236
2004-01-27,-0.005105412933987807
2004-01-28,-0.015558365333751212
2004-01-29,-0.06343230779378395
2004-01-30,-0.024189076382345576
2004-02-02,-0.002933225440534315
2004-02-03,0.02242083571107223
2004-02-04,-0.02711352006793888
2004-02-05,-0.027726955619106874
2004-02-06,0.04073854707882063
2004-02-09,-0.00031868157152104004
2004-02-10,0.009471441434550698
2004-02-11,0.04523783135605974
2004-02-12,-0.005793358183597164
2004-02-13,-0.02338184733838311
2004-02-16,-0.01525108385987295
2004-02-17,0.010624329454410386
2004-02-18,-0.019178546680373998
2004-02-19,-0.048856075432441415
2004-02-20,0.0182562769968726
2004-02-25,0.01266723965258798
2004-02-26,-0.007385249201309563
2004-02-27,0.014118970798618236
2004-03-01,0.03362724760560276
2004-03-02,-0.0025366605355721106
2004-03-03,0.004800862706012765
2004-03-04,-0.006986655925992125
2004-03-05,0.021208765622526826
2004-03-08,0.005232646134642138
2004-03-09,-0.013970928184457776
2004-03-10,-0.04529007804713814
2004-03-11,-0.04275625902043245
2004-03-12,0.047635889381274055
2004-03-15,-0.02520477531772869
2004-03-16,0.01769131491040099
2004-03-17,0.013237312378647559
2004-03-18,0.02118847762160847
2004-03-19,-0.004884507033846575
2004-03-22,-0.027230532331037338
2004-03-23,-0.02136873321060051
2004-03-24,-0.010429106140998456
2004-03-25,0.0007145409378672696
2004-03-26,0.025435658182539456
2004-03-29,-0.00046433878991791744
2004-03-30,0.023501334058156687
2004-03-31,0.0044811662630745985
2004-04-01,0.022551135388322763
2004-04-02,0.013246969746877113
2004-04-05,0.0085476168534111
2004-04-06,-0.0032022183233468837
2004-04-07,-0.027640999544161104
2004-04-08,0.012486878505164611
2004-04-12,0.002417317955492493
2004-04-13,-0.007048487331060116
2004-04-14,-0.013709820362787895
2004-04-15,-0.026016767850144618
2004-04-16,0.001379056943756396
2004-04-19,-0.006544405328247294
2004-04-20,-0.025712691578807068
2004-04-22,0.0030317408347269037
2004-04-23,0.020968661180244652
2004-04-26,-0.01239704556620147
2004-04-27,-0.0003283225094570241
2004-04-28,-0.040349087953478247
2004-04-29,-0.030196399231016358
2004-04-30,-0.01307274393327873
2004-05-03,0.0051887388770737175
2004-05-04,0.014056709271599743
2004-05-05,0.0018993358036532015
2004-05-06,-0.042642119266002254
2004-05-07,-0.030153038170688262
2004-05-10,-0.05611012290007622
2004-05-11,0.05164258579810799
2004-05-12,-0.011447918203931096
2004-05-13,0.004138537817148347
2004-05-14,0.01129344940165744
2004-05-17,-0.02662613396195823
2004-05-18,0.023666517089628414
2004-05-19,0.007088419756319908
2004-05-20,-0.024264621999630975
2004-05-21,0.002464066955157662
2004-05-24,0.020783342653846404
2004-05-25,0.010178882950121704
2004-05-26,0.011020702647178027
2004-05-27,0.0342790565824842
2004-05-28,-0.003400932188457162
2004-05-31,-0.006222605001598325
2004-06-01,5.116267172589062e-05
2004-06-02,0.008710545867486985
2004-06-03,-0.016208141714848523
2004-06-04,0.021368007472927886
2004-06-07,0.03119509891870642
2004-06-08,-0.008003774528145158
2004-06-09,-0.020873008666209003
2004-06-11,-0.0015617525026296875
